parent	parent_replace	recombinant
XCK	FL.1.5.1	1
XCK	BQ.1.2.2	1
XCL	XBB.1	0
XCM	BA.2	0
XCT	JG.4	1
XCT	DV.7.1	1
XD	B.1	0
XDA	XBB.1.16	1
XDA	HN.5	1
XDD	EG.5.1.1	1
XDD	JN.1	1
XDE	GW.5.1	1
XDE	FL.13.4	1
XDK	JN.1.1.1	1
XDK	XBB.1.16.11	1
XDP	JN.1.4	1
XDP	FL.15	1
XDQ	BA.2.86.1	1
XDQ	FL.15.1.1	1
XDR	JD.1.1.1	1
XDR	JN.1.1	1
XDV	XDE	1
XDV	JN.1	1
XDY	LB.1.2.1	1
XDY	KP.3.2	1
XE	B.1.1.529	0
XEC	KS.1.1	1
XEC	KP.3.3	1
XEF	LB.1.4	1
XEF	KP.3	1
XM	B.1.1.529	0
XN	B.1.1.529	0
XS	B.1	0
XW	BA.1	0
XY	B.1.1.529	0
XZ	B.1.1.529	0
Y	B.1.177.52	0
Z	B.1.177.50	0
NL	LB.1.3.1	0
XEK	KP.2.3	1
XEK	XEC	1
XEL	KS.1.1.2	1
XEL	JN.1	1
NH	KP.2.2.1	0
NF	JN.1.16.5	0
XEN	KP.1.1.6	1
XEN	JN.1.11.1	1
ND	LF.8.1.1	0
XEP	KP.3.1.1	1
XEP	NP.2	1
NP	KP.3.3.2	0
NT	LF.7.1.2	0
XEQ	KS.1.1.2	1
XEQ	KP.3	1
NY	LP.8.1.1	0
PA	MC.10.1.1	0
XFG	LF.7	1
XFG	LP.8.1.2	1
NB	XDV.1.5.1	0
NW	LP.8.1.2	0
XEW	KP.3.1.1	1
XEW	XEC.8	1
